 SOLAR ZENITH ANGLE (deg) =    60.000000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =    2.1273000000000000E-004  CO2 =    2.8400000000000002E-004

    CH4 =    8.0800000000000004E-007
 Standard CH3CL flux =  0.000E+00

 PO2= 9.854E-04  PNO= 3.232E-03  ZAPNO= 3.416E+02
 N= 3     X= 1.37851E-01  ERR= 1.99169E-09

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0


 MIXING RATIOS OF LONG-LIVED SPECIES

     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 1.71E-10 3.75E-17 1.33E-02 5.27E-14 1.13E-11 1.13E-09 1.51E-08 6.97E-21 5.00E-07 8.08E-07 9.00E-08 9.26E-10
  1.50E+05 1.78E-10 5.21E-17 8.36E-03 6.18E-14 1.13E-11 1.17E-09 1.80E-08 7.72E-21 5.50E-07 1.60E-06 8.22E-08 9.13E-10
  2.50E+05 1.77E-10 7.43E-17 5.32E-03 7.22E-14 1.11E-11 1.15E-09 2.19E-08 8.55E-21 5.51E-07 1.59E-06 7.55E-08 8.36E-10
  3.50E+05 1.66E-10 1.06E-16 3.37E-03 8.17E-14 1.05E-11 1.05E-09 2.68E-08 9.26E-21 5.51E-07 1.59E-06 6.98E-08 6.91E-10
  7.50E+05 7.39E-11 3.54E-16 2.08E-04 9.50E-14 5.97E-12 3.91E-10 4.76E-08 9.75E-21 5.52E-07 1.58E-06 5.47E-08 1.76E-10
  1.15E+06 2.23E-11 1.17E-15 4.29E-06 1.08E-13 2.10E-12 6.70E-11 7.96E-08 1.11E-20 5.53E-07 1.58E-06 4.50E-08 1.88E-11
  1.55E+06 9.30E-12 2.21E-14 4.41E-06 8.42E-14 5.92E-13 1.47E-12 4.23E-07 9.06E-21 5.50E-07 1.52E-06 2.51E-08 4.58E-13
  1.95E+06 1.12E-11 2.83E-13 4.74E-06 1.86E-13 1.28E-12 3.03E-12 1.51E-06 2.20E-20 5.33E-07 1.36E-06 1.31E-08 5.11E-13
  2.35E+06 2.03E-11 2.43E-12 5.16E-06 6.67E-13 5.49E-12 2.37E-11 3.38E-06 1.30E-19 5.05E-07 1.16E-06 9.81E-09 2.01E-12
